id;areaFacultad;facultad;departamento
6;Leyes;Derecho;Otro
58;Ciencia;CIFE;Desconocido
37;Ciencia;Econom?a;Desconocido
11;Apoyo Estudiantil;VDE;M?sica
42;Ciencia;Ingenier?a;Ingenier?a
53;Humanidades;Ciencias Sociales;Lenguajes y Estudios Socioculturales
54;Humanidades;Ciencias Sociales;Antropolog?a, Ciencia Pol?tica, Filosof?a, Historia, Lenguajes y Estudios Socioculturales, Psicolog?a
17;Apoyo Estudiantil;Centro de Trayectoria Profesional (CTP);Desconocido
51;Humanidades;Ciencias Sociales;Antropolog?a, Psicolog?a
29;Humanidades;CIDER;Otro
40;Humanidades;Ciencias Sociales;Desconocido
62;Ciencia;Ciencias;F?sica
34;Ciencia;Ingenier?a;Ingenier?a El?ctrica y Electr?nica
46;Ciencia;Medicina;Medicina
33;Ciencia;Econom?a;Econom?a
18;Humanidades;Ciencias Sociales;Psicolog?a
23;Humanidades;Esc de Gobierno Alberto Lleras Camargo;Otro
16;Humanidades;Arquitectura y Dise?o;Arquitectura
39;Humanidades;Artes y Humanidades;Desconocido
44;Desconocido;Desconocido;Ingenier?a, Ingenier?a Civil y Ambiental
4;Ciencia;Ingenier?a;VDE
56;Humanidades;Ciencias Sociales, Esc de Gobierno Alberto Lleras Camargo;Ciencia Pol?tica, Escuela de Gobierno
20;Ciencia;Econom?a;Otro
36;Apoyo Estudiantil;VDE;Psicolog?a
19;Humanidades;Artes y Humanidades;Decanatura de Estudiantes
31;Humanidades;Ciencias Sociales;Antropolog?a
41;Otro;Otro;VDE
48;Apoyo Estudiantil;GHDO;GHDO
43;Desconocido;Desconocido;Ingenier?a Industrial
50;Humanidades;Artes y Humanidades;Arte
21;Ciencia;Ciencias;F?sica, Matem?ticas
65;Profesional;Centro de Trayectoria Profesional (CTP);CTP
10;Ciencia;Medicina;Otro
7;Humanidades;Esc de Gobierno Alberto Lleras Camargo;Escuela de Gobierno
13;Humanidades;Artes y Humanidades;Humanidades y Literatura
3;Apoyo Estudiantil;Decanatura de Estudiantes;Decanatura de Estudiantes
25;Ciencia;Ingenier?a;Ingenier?a Qu?mica
61;Desconocido;Desconocido;Psicolog?a
27;Humanidades;Ciencias Sociales;Ciencia Pol?tica
52;Apoyo Estudiantil;Decanatura de Estudiantes;Otro
15;Ciencia;CIFE;CIFE
30;Ciencia;Ciencias;Ciencias Biol?gicas
1;Otro;Otro;Otro
55;Humanidades;Artes y Humanidades;M?sica
24;Otro;Otro;Arquitectura
5;Apoyo Estudiantil;VDE;VDE
2;Desconocido;Desconocido;Desconocido
22;Humanidades;Administraci?n;Administraci?n
35;Ciencia;Ingenier?a;Ingenier?a Civil y Ambiental
14;Ciencia;Ingenier?a;Otro
45;Otro;Otro;Direcci?n de Admisiones y Registro
47;Humanidades;Ciencias Sociales;Derecho
8;Leyes;Derecho;Derecho
49;Desconocido;Desconocido;Humanidades y Literatura
63;Humanidades;Administraci?n, Arquitectura y Dise?o, Artes y Humanidades;Antropolog?a, Arquitectura, Arte
9;Apoyo Estudiantil;VDE;Otro
57;Desconocido;Desconocido;Ciencia Pol?tica
59;Humanidades;Administraci?n;Desconocido
12;Ciencia;CIFE;Otro
26;Humanidades;Ciencias Sociales;Otro
32;Ciencia;Ingenier?a;Ingenier?a Industrial
64;Ciencia;Ciencias;Qu?mica
38;Leyes;Derecho;Desconocido
28;Ciencia;Ingenier?a;Ingenier?a de Sistemas y Computaci?n
60;Humanidades;Esc de Gobierno Alberto Lleras Camargo;Desconocido
